=== SolidLink Diagnostic Log ===
Started: 1/20/2026 2:21:00 AM

[02:21:00.174] ========== TREE EXTRACTION START ==========
[02:21:00.175] Model: ORIGINAL_3_DOF_ARM.SLDASM
[02:21:00.176] Type: Assembly
[02:21:00.183] Component: ORIGINAL_3_DOF_ARM
[02:21:00.183]   Parent: (ROOT)
[02:21:00.184]   Rotation Row1: [1.0000, 0.0000, 0.0000]
[02:21:00.185]   Rotation Row2: [0.0000, 1.0000, 0.0000]
[02:21:00.185]   Rotation Row3: [0.0000, 0.0000, 1.0000]
[02:21:00.186]   Translation: [0.0000, 0.0000, 0.0000]
[02:21:00.187]   Scale: 1.0000
[02:21:00.191] Component: Arm_link-3
[02:21:00.194]   Parent: ORIGINAL_3_DOF_ARM
[02:21:00.195]   Rotation Row1: [-0.0416, 0.9904, 0.1315]
[02:21:00.195]   Rotation Row2: [-0.8173, 0.0419, -0.5747]
[02:21:00.195]   Rotation Row3: [-0.5748, -0.1314, 0.8077]
[02:21:00.196]   Translation: [-0.0594, 0.1778, 0.1343]
[02:21:00.196]   Scale: 1.0000
[02:21:00.197] Component: Arm_link-3/Arm_brace-4
[02:21:00.197]   Parent: Arm_link-3
[02:21:00.198]   Rotation Row1: [0.8173, -0.0419, 0.5747]
[02:21:00.198]   Rotation Row2: [-0.0416, 0.9904, 0.1315]
[02:21:00.198]   Rotation Row3: [-0.5748, -0.1314, 0.8077]
[02:21:00.199]   Translation: [-0.0830, 0.2008, 0.1212]
[02:21:00.199]   Scale: 1.0000
[02:21:00.206]   Body: Fillet4, UnitFactor: 0.0254
[02:21:00.209]     Vertices: 5010
[02:21:00.210]     BBox Min: [0.0019, 0.0000, -0.0127]
[02:21:00.210]     BBox Max: [0.0508, 0.0085, 0.0127]
[02:21:00.211]     BBox Size: [0.0489, 0.0085, 0.0254]
[02:21:00.212] Component: Arm_link-3/Arm_brace-1
[02:21:00.212]   Parent: Arm_link-3
[02:21:00.213]   Rotation Row1: [-0.8173, 0.0419, -0.5747]
[02:21:00.213]   Rotation Row2: [-0.5748, -0.1314, 0.8077]
[02:21:00.214]   Rotation Row3: [-0.0416, 0.9904, 0.1315]
[02:21:00.214]   Translation: [-0.1707, 0.1800, 0.0827]
[02:21:00.215]   Scale: 1.0000
[02:21:00.216]   Body: Fillet4, UnitFactor: 0.0254
[02:21:00.217]     Vertices: 5010
[02:21:00.217]     BBox Min: [0.0019, 0.0000, -0.0127]
[02:21:00.218]     BBox Max: [0.0508, 0.0085, 0.0127]
[02:21:00.218]     BBox Size: [0.0489, 0.0085, 0.0254]
[02:21:00.219] Component: Arm_link-3/Arm_link_tube-1
[02:21:00.219]   Parent: Arm_link-3
[02:21:00.220]   Rotation Row1: [-0.0416, 0.9904, 0.1315]
[02:21:00.220]   Rotation Row2: [-0.8173, 0.0419, -0.5747]
[02:21:00.220]   Rotation Row3: [-0.5748, -0.1314, 0.8077]
[02:21:00.221]   Translation: [-0.0594, 0.1778, 0.1343]
[02:21:00.221]   Scale: 1.0000
[02:21:00.222]   Body: Cut-Extrude2, UnitFactor: 0.0254
[02:21:00.223]     Vertices: 1992
[02:21:00.224]     BBox Min: [-0.0254, 0.0000, -0.0254]
[02:21:00.224]     BBox Max: [0.0254, 0.1588, 0.0254]
[02:21:00.224]     BBox Size: [0.0508, 0.1588, 0.0508]
[02:21:00.225] Component: Arm_link-3/Arm_brace-2
[02:21:00.225]   Parent: Arm_link-3
